iter	Passed	Remaining
909	1335	132
910	1336	130
911	1338	129
912	1339	127
913	1340	126
914	1341	124
915	1342	123
916	1344	121
917	1345	120
918	1345	118
919	1347	117
920	1348	115
921	1349	114
922	1350	112
923	1351	111
924	1352	109
925	1353	108
926	1354	106
927	1355	105
928	1357	103
929	1358	102
930	1359	100
931	1360	99
932	1361	97
933	1362	96
934	1363	94
935	1364	93
936	1366	91
937	1367	90
938	1369	88
939	1370	87
940	1371	85
941	1372	84
942	1373	83
943	1374	81
944	1375	80
945	1377	78
946	1378	77
947	1379	75
948	1380	74
949	1381	72
950	1383	71
951	1384	69
952	1385	68
953	1386	66
954	1387	65
955	1389	63
956	1390	62
957	1391	60
958	1392	59
959	1393	58
960	1394	56
961	1395	55
962	1396	53
963	1397	52
964	1399	50
965	1400	49
966	1401	47
967	1402	46
968	1403	44
969	1404	43
970	1405	41
971	1407	40
972	1408	39
973	1409	37
974	1410	36
975	1411	34
976	1412	33
977	1414	31
978	1415	30
979	1416	28
980	1417	27
981	1418	26
982	1419	24
983	1420	23
984	1421	21
985	1422	20
986	1423	18
987	1424	17
988	1425	15
989	1427	14
990	1428	12
991	1429	11
992	1430	10
993	1431	8
994	1432	7
995	1433	5
996	1434	4
997	1435	2
998	1437	1
999	1438	0
